no,barcode,name,description,weight,width,lenght,height,price
30,7725974350,Beef Enchilada Casserole,Hearty casserole with beef and enchilada sauce.,22512,64622,16404,68530,8.99
31,7997689524,Sweet Pea Hummus,Creamy hummus made with sweet peas and tahini.,4780,6972,69930,36382,4.29
32,4095267399,Beach Cover-Up,"Lightweight cover-up perfect for the beach, with a breezy design.",13407,55449,119537,90207,29.99
33,7354059927,Electric Screwdriver,Cordless electric screwdriver for home projects.,23763,18193,20721,22627,59.99
34,4013858215,Maple Bacon Jerky,Savory bacon jerky coated with maple flavoring.,119,68779,83219,88428,6.99
35,6062957355,Mini Meatballs,Frozen mini meatballs that are great as a snack or in pasta dishes.,23327,19787,14226,81330,5.99
36,3306541737,Wall-Mounted Wine Rack,Stylish and modern holder for storing wine bottles on walls.,8497,73604,25168,52780,39.99
37,7071634564,Honey-Balsamic Vinaigrette,A sweet and tangy vinaigrette dressing for salads.,24611,673,69589,38150,3.39
38,8188601128,Chicken Salad Kit,All-in-one kit for making delicious chicken salad.,14249,7052,95367,95835,5.99
39,5923953307,Pet Reflective Vest,Safety vest for pets during nighttime walks.,9553,47539,102729,70385,18.99
40,6303236529,Taro Chips,"Crispy chips made from taro root, a wonderful snack.",27195,61819,8527,78949,3.59
41,9459730639,Pumpkin Pie Spice,A blend of spices that brings the taste of fall to your baked goods.,4912,53461,111662,5763,2.99
42,5493783533,Mushrooms,"Fresh button mushrooms, great for cooking.",24753,78693,47946,9107,2.99
43,6392810471,Wireless Security Camera,1080p wireless security camera with night vision.,15593,40619,53015,57268,109.99
44,9592838240,V-Neck Sweater,Classic V-neck sweater crafted from soft wool for warmth and style.,9624,22606,58931,22242,49.99
45,6479134591,Kettle Corn Popcorn,"Sweet and salty kettle corn, perfect for snacking.",21647,56026,20988,25336,2.99
46,2472694946,Mixed Berry Smoothie Pack,"Frozen berries blend perfect for smoothies, just add yogurt.",21,80820,5280,29270,5.99
47,4715525437,Mobile Workbench,Sturdy mobile workbench with storage options.,18006,30367,36533,26451,199.99
48,1905672527,Portable Air Pump,Compact pump ideal for inflating sports equipment or rafts.,9903,11762,81872,31456,19.99
49,4890133062,Savory Trail Mix,"A blend of nuts, seeds, and spices for a healthy snack.",23581,4862,19720,84666,4.29
50,0583043542,Maple Pecan Pancake Mix,"A fluffy pancake mix infused with maple and pecans, perfect for a hearty breakfast.",17270,54866,15745,70182,4.99
51,2995290735,Foot Spa Bath Massager,Relax and soothe tired feet with this foot spa.,14699,36030,43049,91108,59.99
52,9438944958,Maple Breakfast Sausage,Savory sausage links with a hint of maple flavor.,27507,93,85437,22594,5.99
53,5872815034,Lentil Vegetable Curry,A flavorful lentil curry cooked with vegetables and spices.,29414,36888,87250,35861,4.49
54,2675601853,Margherita Pizza,"A frozen pizza topped with fresh mozzarella, tomatoes, and basil.",18323,49920,45137,75212,7.99
55,0449495647,Decorative Throw Pillows,Set of stylish throw pillows for home decor.,4115,76807,99818,46228,29.99
56,6611977910,Coffee Subscription Service,Monthly subscription for freshly roasted coffee delivered to your door.,15390,27617,25012,95280,29.99
57,6385610721,Non-Stick Grill Pan,Heavy-duty grill pan for indoor grilling.,19078,63628,118124,82369,39.99
58,1477934227,Fire Roasted Salsa,Salsa made with fire-roasted tomatoes for an authentic flavor.,9907,68938,115439,98552,2.49
59,5979155813,Classic Caesar Dressing,Rich and creamy Caesar dressing for salads and wraps.,19096,85716,58107,60301,3.49
60,5335252022,Dog Waste Bag Dispenser,Convenient dispenser for dog waste bags on walks.,16932,71708,90828,67945,6.99
61,0647819244,Caramel Sauce,Rich sauce for desserts and ice cream.,23044,12369,30512,52523,3.49
62,8148307113,Fruit and Nut Energy Bites,Natural energy bites packed with fruits and nuts for a perfect snack.,15338,82343,110076,61267,2.99
63,8919017506,Puzzle Mat,Foldable mat for jigsaw puzzle assembly.,25495,10983,89079,98578,22.99
64,3928938509,Peanut Butter Chocolate Chip Bars,Chewy bars made with peanut butter and chocolate chips.,15955,81377,77769,5929,4.59
65,7473484745,Coconut Oil Spray,A zero-calorie coconut oil spray for cooking and baking.,17242,5004,31441,59973,4.99
66,5570441042,Wireless HDMI Receiver,Stream HD video wirelessly from devices to TV.,16420,10987,29172,16611,49.99
67,5162110841,Camera Lens Cleaning Kit,Complete cleaning kit for camera lenses.,9394,67316,1019,39895,14.99
68,9933136674,Kids' Learning Tablet,Educational tablet designed for preschool-age children.,10558,25259,42972,72499,129.99
69,8995231068,Basmati Rice,"Aromatic long-grain basmati rice, perfect for curries.",26104,34028,60320,85094,5.79
70,1813989389,Traditional Hummus,Creamy chickpea dip blended with tahini and garlic.,14546,1712,91660,89939,3.29
71,5607941248,Hibiscus Herbal Tea,"Floral and refreshing herbal tea, great hot or iced.",13549,13029,111390,8791,3.29
72,9740244343,Knitted Infinity Scarf,A warm knitted scarf to keep you cozy in winter.,9078,20462,17031,49876,29.99
73,6781832247,Smartphone Photography Ring Light,Portable ring light that enhances your photos with perfect lighting.,22348,71002,14315,59135,29.99
74,9440505273,Car Phone Mount,Adjustable phone mount for car dashboard.,593,57363,54319,19696,15.99
75,0689644345,Lemon Garlic Marinade,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish.",4878,9028,114241,58877,4.29
76,8191838559,Kitchen Scale,Digital scale for precise cooking measurements.,789,30362,9805,48809,19.99
77,8225219457,Wireless Earbuds,True wireless earbuds with touch control.,7568,914,43303,43686,69.99
78,9041900829,Folding Backpack Chair,Versatile chair that easily folds up for carrying.,4889,22833,71932,6214,49.99
79,1058134159,Peanut Butter Banana Smoothie,Smooth and creamy smoothie made with peanut butter and banana.,5307,22446,19161,2830,3.99
80,3700341679,Coffee Maker,Single-serve coffee maker with a built-in grinder.,22773,31658,75614,97152,89.99
81,6876451038,Personal Blender with Cups,Compact blender that comes with travel cups for smoothies.,374,71219,64423,41306,34.99
82,4184279244,Motion Sensor Light,Battery-operated motion sensor light for safety.,24782,14484,67651,84688,19.99
83,0548673918,Basketball,Official size basketball for indoor and outdoor play.,16749,73921,95805,22042,29.99
84,6396298252,Weighted Blanket for Adults,A calming blanket that provides gentle pressure for relaxation.,14841,40711,49094,61608,59.99
85,1009298992,Smart Wi-Fi Light Bulbs,Energy-efficient LED bulbs that can be controlled via smartphone.,3938,74592,97953,31385,19.99
86,2057210650,Comfortable Jogger Pants,"Relaxed fit joggers made from soft fleece, ideal for lounging or workouts.",276,88555,37731,26440,29.99
87,8426985122,Safety First Aid Kit,Comprehensive first aid kit for home or travel emergencies.,22969,67221,118246,35915,29.99
88,5012687787,Organic Coconut Water,Refreshing coconut water packed with electrolytes for hydration.,7868,42944,5279,99871,2.79
89,5931643206,Organic Chia Seeds,Nutritious chia seeds great for smoothies,5938,11736,11061,44862,7.99
90,7751658681,Wall-Mounted Spice Rack,Space-saving rack to store and organize spices conveniently.,23508,82050,74223,85959,39.99
91,1444247107,Electric Rice Cooker with Steamer,Cook rice and steam vegetables simultaneously for healthy meals.,17621,85707,90540,63541,49.99
92,7064369923,Beef Tacos,"Pre-seasoned beef mix for delicious tacos, just heat and serve.",8523,77375,15128,53515,5.49
93,3566933279,Baby Monitor,Video baby monitor with night vision.,14942,39663,38353,63461,79.99
94,9844255074,Lemon Garlic Shrimp,"Marinated shrimp in a garlic and lemon sauce, perfect for grilling.",13930,38984,8880,68764,8.99
95,3915938211,Vegan Mayonnaise,Plant-based mayonnaise for a creamy taste.,6712,34921,43857,5937,4.49
96,1459942396,Pet Carrier Backpack,Comfortable and breathable backpack for carrying small pets.,29635,23115,14172,16304,39.99
97,8604264167,Avocado Lime Dressing,"Refreshing dressing made with avocado and lime, perfect for salads.",25742,29256,86430,51345,4.29
98,2825099759,Electric Air Pump,Fast and convenient air pump for inflating toys and furniture.,13863,63217,83690,22139,29.99
99,6254531046,Self-Massaging Pillow,Comfortable pillow with built-in massage features.,8515,33690,5967,50750,49.99
100,0331361299,Electric Razor,Rechargeable electric razor for a smooth shave.,7057,29707,59616,87027,59.99
101,1679998463,Portable Bluetooth Speaker,Compact Bluetooth speaker with rich sound quality.,119,84689,103215,29765,49.99
102,0788080342,Safety Pin Dispenser,Handy dispenser for quick access to safety pins.,23322,30327,90116,26441,5.99
103,9857657850,Almond Flour Bread Mix,Gluten-free bread mix made with almond flour.,28814,72937,115627,99071,4.89
104,6354690898,Pet Travel Bowl,Collapsible travel bowl for pets on the go.,27154,54791,7641,74288,10.99
105,8211437449,Zesty Garlic Hummus,Creamy chickpea dip infused with zesty garlic flavor.,13026,78031,29292,14991,3.99
106,4868309048,Travel Mug,Stainless steel travel mug with spill-proof lid.,15487,49090,73024,45920,18.99
107,3789235474,Infrared Space Heater,Energy-efficient infrared heater for home use.,441,52447,70279,30237,99.99
108,1116150220,Over-Ear Headphones,Comfortable over-ear headphones with deep bass.,9300,13563,74529,84678,59.99
109,0168469650,Maple Pecan Granola,"Crunchy granola with maple syrup and pecans, great for breakfast or snacking.",24565,20733,94398,18065,4.49
110,2614584452,Digital Wireless Camera,Secure digital wireless security camera system.,32,44924,29539,13968,199.99
111,5874121064,Handcrafted Wooden Jewelry Box,Beautifully crafted jewelry box with compartments for storage.,19980,78600,2155,38159,39.99
112,9073904285,Guitar Tuner,Clip-on guitar tuner with LCD display.,28285,34996,17478,52165,19.99
113,9433033434,Peach Green Tea,"Refreshing green tea infused with peach, perfect for a hot day.",17932,28696,117360,63833,3.49
114,3768403408,Cocoa Powder,Rich cocoa powder for baking and chocolate recipes.,7660,87743,106421,80719,3.99
115,0930781686,Honey Sesame Chicken,A delicious chicken dish featuring honey and sesame flavors.,29208,58096,79647,3045,8.99
116,9579829462,Stainless Steel Mixing Bowls,Set of versatile mixing bowls for cooking.,5172,70566,115943,79484,29.99
117,7245950253,Travel Document Organizer,"Organize travel documents, passport, and cards.",25675,89732,15851,50368,15.99
118,1072345692,Underwater Camera,Waterproof camera for capturing underwater adventures.,15796,82026,54072,25042,199.99
119,9986504481,Portable Speakers,Bluetooth speakers with excellent sound quality.,5576,24487,95225,43023,69.99
120,4133441249,Vegetable Stir-Fry Sauce,Savory sauce for vegetable and meat stir-fries.,13119,36828,112701,28326,3.49
121,4263725417,LED Strip Lights with Remote Control,Color-changing LED lights for home decoration with remote.,29696,55777,22605,63727,29.99
122,9940026447,Thai Green Curry Paste,A rich curry paste for making authentic Thai green curry at home.,25364,14841,69102,26936,2.49
123,7666215061,Fashionable Belt Bag,Trendy belt bag for hands-free carrying.,9579,89369,80509,22903,34.99
124,8749127500,Rechargeable Electric Toothbrush,Advanced electric toothbrush for effective cleaning.,28571,87398,56500,53964,49.99
125,4614802605,Vegan Taco Seasoning,Spice blend for creating flavorful vegan taco filling.,1128,46758,20421,1763,2.49
126,3452659488,Asian Noodle Salad Kit,A pre-packaged salad kit with noodles and Asian-style dressing.,9557,78402,80268,89636,4.99
127,0606083782,Flavored Instant Oatmeal,Quick oatmeal with various flavors,12344,81928,14601,26326,2.99
128,7514109951,Stainless Steel Straws,Set of reusable stainless steel straws for drinks.,19926,27350,55433,46707,12.99
129,1373641304,Compost Bin,Countertop compost bin for kitchen waste.,27066,20713,103584,65697,29.99
130,6778712112,Peach & Mango Salsa,"A zesty salsa made with peaches and mangos, great for chips.",14371,65624,63932,40829,4.49
131,5143078806,Smart Water Bottle,Water bottle that tracks your hydration levels.,20345,74362,15120,86565,39.99
132,5214814283,Leather Biker Jacket,Stylish black leather jacket featuring a zip-up front and multiple pockets.,11277,38268,108203,90457,129.99
133,8459850765,Wireless Charger,Qi-certified wireless charger for fast charging.,19359,62067,113083,36169,24.99
134,2726396798,Athletic Compression Tights,High-performance compression tights designed for optimal support and comfort.,20806,56273,101231,17111,39.99
135,4521385664,Chickpea Pasta,Healthy pasta alternative made from chickpeas,25886,3125,49918,4986,4.19
136,8847388996,Nature Explorer Lens Kit,Magical lens kit for kids to explore the outdoors.,16427,4223,47811,26053,19.99
137,9741288670,Spicy Thai Noodles,Instant noodles with a spicy Thai sauce for quick meals.,5933,23842,100816,28239,1.99
138,3511195012,Paint By Numbers Kit,Relaxing paint kit with pre-printed canvas for painting.,20424,51570,105382,75123,24.99
139,7971567146,Lemon Basil Pasta Sauce,A tangy sauce that combines lemon zest and basil for a refreshing flavor.,27016,88117,54636,87328,4.99
140,4711465340,Personalized Keychain,Custom keychain with engraved text.,29291,37141,104290,48284,10.99
141,0914021818,Spicy Thai Coconut Soup,"A ready-to-eat soup with coconut milk, spices, and vegetables.",5865,65630,13296,53599,3.99
142,5182071493,Mango Chunks,Frozen mango chunks for smoothies or snacking.,12894,31867,20620,61767,4.89
143,3378554894,Granola,Crunchy and flavorful mix of oats and honey.,26607,35422,84015,40064,4.79
144,8365568160,Lemon Garlic Shrimp,"Marinated shrimp in a garlic and lemon sauce, perfect for grilling.",19853,35390,3111,10711,8.99
145,6454623637,Sunflower Seeds,Salted sunflower seeds perfect for snacking.,241,23375,32237,5149,2.99
146,4533715397,Honey Garlic Shrimp,"Shrimp marinated in a honey garlic sauce, ready to cook.",15581,7511,62380,45360,8.49
147,7906487036,Portable Phone Charger,High-capacity power bank for charging devices on the go.,3858,61456,66683,46712,29.99
148,9375030024,Chicken Broth,"Rich and flavorful chicken broth, great for soups.",17929,12348,38739,56167,2.49
149,6689553310,Rice Pudding,Creamy dessert made with rice and cinnamon.,18523,59666,61063,46957,2.29
150,1341148300,Travel Eye Mask with Ear Plugs,Comfortable eye mask that includes noise-canceling ear plugs.,7368,10551,97465,71525,15.99
151,7859997487,Car Trash Can,Compact trash can for keeping your car clean.,25016,26331,68525,14840,12.99
152,9756464704,Frozen Broccoli,"Nutrient-rich broccoli, easy to add to any meal.",7066,64503,59042,97639,2.49
153,3124115910,Travel Luggage Scale,Digital scale to avoid overweight baggage fees.,13163,49570,73946,9950,14.99
154,8859630231,Poppy Seed Dressing,"A light and tangy dressing with poppy seeds, perfect for salads.",2775,59440,92972,79055,3.49
155,5280013625,Digital Food Thermometer,Instant-read thermometer for accurate cooking temperatures.,25009,21016,78134,86684,19.99
156,0975917064,Himalayan Salt Grinder,"Natural pink salt, perfect for seasoning.",18558,80106,24586,20066,4.99
157,2793224081,Athletic Compression Tights,High-performance compression tights designed for optimal support and comfort.,13359,68042,110554,83184,39.99
158,7115816395,Reusable Snack Bags,Eco-friendly reusable bags for snacks.,2421,58967,69987,45239,14.99
159,0345081889,Gardening Tool Belt,Convenient belt with pockets for easy access to tools while gardening.,6991,73785,21662,72771,22.99
160,3494271984,Tomatillo Salsa,Tangy salsa made from tomatillos and peppers.,6172,29118,62869,77442,3.29
161,1406391212,Rice Cakes,"Light and crispy rice cakes, a perfect low-calorie snack.",12440,83726,26088,99508,2.29
162,0973380217,Smart Water Bottle with Hydration Reminder,Bottle that tracks your water intake and reminds you to drink.,27343,88852,46757,67446,39.99
163,9894470378,Voice-Controlled Speaker,Smart speaker with Alexa and music streaming features.,23793,51066,38433,87227,99.99
164,5114536230,Asian Stir-Fry Vegetables,Frozen mix of colorful stir-fry veggies.,10068,15133,96658,67770,2.99
165,8667532347,Spicy Tuna Rolls,"The perfect seafood snack, ready to eat and delicious.",18491,51428,46776,61367,6.49
166,9673870659,Dark Chocolate Covered Raisins,Satisfy your sweet tooth with these dark chocolate-covered raisins.,17697,74976,64256,12794,3.99
167,3446385991,Vintage Button-Down Shirt,A retro-style button-down shirt with a relaxed fit.,23631,78780,86355,36301,45.99
168,3635062685,Pet Water Bottle,Portable water bottle for pets when traveling.,2529,64386,84603,81672,18.99
169,3010760205,Savory Breakfast Sausage,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches.",1219,36864,103607,56807,6.49
170,2139636953,Mushrooms,"Fresh button mushrooms, great for cooking.",5939,33707,18184,50657,2.99
171,2330701985,Portable Bluetooth Keyboard,Compact keyboard for tablets and smartphones.,21577,74309,55625,39944,39.99
172,8389680076,Honeycrisp Apples,"Crisp and sweet Honeycrisp apples, freshly picked.",7401,89426,8312,18077,1.89
173,4602393535,DIY Organic Gardening Kit,Complete kit for starting your own organic garden.,20737,69872,22016,33548,39.99
174,8139561266,Ultra-Thin Laptop Sleeve,Sleek and protective sleeve for laptops and tablets.,755,22479,9315,58189,19.99
175,4315541893,Mini Meatballs,Frozen mini meatballs that are great as a snack or in pasta dishes.,27162,33770,81783,19676,5.99
176,0957604866,Denim Jacket,A classic denim jacket that never goes out of style.,20214,55645,82270,76239,69.99
177,5933306134,Stainless Steel BBQ Grill Set,Essential tools for outdoor barbecues including tongs and spatula.,3493,77892,70282,32612,49.99
178,3271456836,Balsamic Salad Dressing,"Tangy and sweet balsamic dressing, perfect for salads.",3157,57500,47492,94376,2.99
179,5189429849,Thyme,"Fresh thyme, perfect for seasoning dishes.",20322,43567,40788,40416,2.49
180,8097557584,Wooden Toy Train Set,Classic wooden train set for imaginative play.,13661,81130,7098,35571,29.99
181,9717737487,Pasta Maker,Manual pasta maker for homemade pasta.,10307,52850,113595,32165,39
182,8168367162,Reclining Camping Chair,Foldable reclining camping chair with cup holder.,234,30443,11673,35203,49.99
183,1365962334,Snack Container Set,Stackable containers for organizing snacks and treats.,11408,6679,31225,60392,19.99
184,9353803004,Canvas Tote Bag,"Durable canvas tote bag, perfect for everyday use.",16386,36233,111460,61953,19.99
185,5518429207,High-Low Hem Tee,"Trendy high-low tee with a relaxed fit, ideal for weekends.",28734,15406,86399,10667,22.99
186,2861574887,Puzzle Game Set,Challenging puzzle game set for family entertainment.,29903,14553,21816,90378,34.99
187,3576449434,Chocolate Mint Thins,Mint-flavored chocolate candies for a refreshing treat.,1846,6512,79569,20374,2.99
188,8084296175,Smart Home Hub,Connect and control smart devices from one app.,14256,34184,115942,93433,99.99
189,7239102475,Athletic Compression Tights,High-performance compression tights designed for optimal support and comfort.,97,86916,48525,2163,39.99
190,9536539969,Carrot Ginger Soup,"Smooth soup made from carrots and ginger, great for cold days.",20637,36629,65523,29368,4.29
191,2451574437,Pasta Portion Control Measure,Tool for measuring perfect pasta portions every time.,21959,27335,44749,39991,9.99
192,6712144868,Radish Chips,"Crispy baked radish chips, a healthy snack alternative.",8101,86066,22487,5455,2.89
193,8041212816,Ground Turkey,"Lean and versatile ground turkey, perfect for various dishes.",592,50980,71930,97134,5.49
194,8882087212,Sparkling Blood Orange Soda,A refreshing sparkling beverage with a bold blood orange flavor.,4373,82976,29919,38677,1.99
195,9981560448,Almond Flour Bread Mix,Gluten-free bread mix made with almond flour.,4268,68589,102823,65661,4.89
196,3297055235,Electric Skillet,Versatile electric skillet for stir-frying and searing.,26607,4668,69469,51432,49.99
197,3132676829,Folding Table,Portable folding table for outdoor events.,15465,21735,92188,54851,59.99
198,0427730724,Dish Rack,Collapsible dish rack for kitchen countertop use.,15984,12873,34298,10608,24.99
199,8624053625,Hot Salsa,Spicy salsa made with fresh ingredients.,8121,47540,30809,8894,2.29
200,3475810557,Smart WiFi Plug,Control appliances remotely using your smartphone.,21754,14124,146,69563,19.99
201,4192884755,Water Bottle,Insulated water bottle for keeping drinks cold.,12745,23838,26581,83070,18.99
202,2638015407,Pet Tracking Collar,GPS pet collar that helps locate your pet via smartphone app.,4158,88352,64716,33581,59.99
203,0808326937,Multi-Purpose Plant Care Tool,"All-in-one tool for measuring soil moisture, light, and pH.",26571,32101,41316,51349,24.99
204,9917075380,Mediterranean Couscous,"Flavored couscous with herbs and spices, perfect as a side dish or a base for salads.",27400,12642,16500,30251,3.59
205,9815605968,Vegetable Korma,Creamy vegetable curry enriched with spices.,1926,45641,311,53634,6.49
206,2454929988,Fitness Activity Journal,Journal to record workouts and nutrition.,12446,23539,54563,21417,14.99
207,4760035516,Grilled Vegetable Medley,"A mix of grilled vegetables, ready to heat for quick side dishes.",4259,18967,107699,86742,4.49
208,5594053778,Frozen Cauliflower Rice,Convenient and low-carb alternative to traditional rice.,11690,23465,90708,98177,2.99
209,7237346377,Honey BBQ Riblets,"Tender riblets coated in a honey barbecue glaze, perfect for grilling or baking.",21286,51511,45158,20697,12.99
210,8239244017,Coloring Books for Adults,Intricate designs for adults to relax and unwind.,8770,74193,92896,99600,14.99
211,9749924908,Sturdy Bookends,Stylish bookends to keep books organized on shelves.,27870,55363,71512,95283,22.99
212,0781741432,Sriracha Chili Sauce,Spicy chili sauce with garlic and sugar for a flavor kick.,7082,66825,81514,16978,2.79
213,6677209660,Jump Rope with Counter,Durable jump rope with built-in counter for workouts.,27508,85907,54435,78855,12.99
214,3210122776,Kitchen Scale,Digital scale for precise cooking measurements.,17105,72553,81494,61918,19.99
215,9019392433,Stainless Steel Water Pitcher,Insulated pitcher to keep beverages cold or hot.,18465,6888,94488,60602,39.99
216,9659745249,Pineapple Coconut Yogurt,Creamy yogurt blended with fresh pineapple and coconut pieces.,15150,88444,39361,97626,4.49
217,0683800973,Smart LED Light Strip,"Customizable RGB LED light strip, perfect for mood lighting.",26158,63398,106931,70039,29.99
218,0916096114,Ultraviolet Phone Sanitizer,UV sanitizer that kills germs on your smartphone.,15547,21885,117554,37635,39.99
219,7437200554,Lentil Vegetable Curry,A flavorful lentil curry cooked with vegetables and spices.,29243,67598,26230,92504,4.49
220,0764887319,Repair Tool Set for Home Improvement,Small toolkit with essentials for home repairs.,13594,89890,520,43256,29.99
221,1346737614,Mini Food Processor,Compact food processor for quick meal prep.,28132,20359,39451,84388,39.99
222,4965774299,Coconut Almond Granola,"Crunchy granola made with oats, almonds, and coconut flakes.",16281,21943,78260,69321,4.99
223,2331521956,Hiking Water Bottle with Filter,8oz water bottle with built-in filter for clean drinking water.,14092,16497,36737,86008,29.99
224,7199984758,Hummus Trio Pack,"A variety pack of classic, roasted red pepper, and garlic hummus.",5204,12221,12453,90370,5.49
225,5767348715,Classic Minestrone Soup,Hearty minestrone soup loaded with vegetables and pasta.,18276,24893,54541,96896,2.99
226,1015803350,Oven Thermometer,High-precision oven thermometer for accurate cooking.,23731,61668,750,64704,11.99
227,0505442159,Kale Chips,"Healthy, crunchy kale chips, a nutritious snack.",9410,1503,34012,69804,3.99
228,0240330870,Art Supplies Organizer,Storage organizer for art supplies and tools.,4261,45140,52862,96732,18.99
229,8235908476,Athletic Jogging Jacket,Designed for comfort and performance during workouts.,4209,24628,60007,59777,49.99
230,4739375443,Faux Fur Coat,A luxurious faux fur coat that adds glamour to any outfit.,1905,7241,113325,17246,129.99
231,0103278613,Spinach and Feta Wraps,Whole wheat wraps filled with spinach and feta cheese.,9035,6174,110026,33105,4.99
232,5956133805,Wall-Mounted Organizer,Practical organizer for keeping your home tidy and clutter-free.,8976,35717,88750,70537,34.99
233,8875165181,BBQ Sauce,"A smoky barbecue sauce, ideal for grilling and dipping.",23770,48750,5152,46334,3.49
234,4619827533,Legging Pants,Comfortable and stretchy legging pants perfect for workouts or daily wear.,23673,57261,26702,83788,34.99
235,9909688301,French Onion Dip,"Creamy dip made with real onions and spices, great for chips and veggies.",27722,56403,55120,51728,2.99
236,4250542890,Noise-Canceling Headphones,High-quality headphones that block out external noise for immersive listening.,18484,67223,96530,58865,119.99
237,2412069581,Coffee Grinder,Burr coffee grinder for fresh ground coffee.,19876,8603,15717,39266,39.99
238,1170893627,Pet Safety Belt for Car,Seat belt attachment to keep dogs safe during car rides.,16047,49509,104843,78249,14.99
239,3516812087,Nutty Trail Mix,"A blend of nuts, seeds, and dried fruits for snacking.",27013,5369,16995,24765,4.29
240,1512547018,Cheddar Cheese Slices,"Creamy cheddar cheese slices, perfect for sandwiches and snacks.",2660,15445,118336,34312,3.49
241,1560273402,Buffalo Chicken Wraps,Savory wraps with buffalo chicken and fresh vegetables.,17423,9623,15865,67723,5.99
242,1840902647,Colorful Post-It Notes Set,Variety pack of sticky notes in different colors and sizes.,8343,75937,65665,60624,9.99
243,9636291527,Wireless Charging Station,Charge multiple devices with this sleek charging station.,9310,87526,47983,27102,39.99
244,5907776269,Pretzel Bites,"Soft pretzel bites, perfect for dipping in mustard or cheese sauce.",23784,53156,47523,83921,4.99
245,8665835180,Pumpkin Spice Cookies,Delicious cookies flavored with pumpkin and spices.,26094,30676,97790,91224,3.29
246,0280042787,Vegetable Lasagna,"Layers of pasta, veggies, and cheese baked to perfection.",5089,81557,76664,65451,6.99
247,0474446387,Organic Quinoa Chips,"Light and crispy chips made from quinoa, ideal for dipping.",5929,19100,86503,78418,3.99
